timestamp,ticker,side,crowd_prob,model_prob,ev,position_usd,hours_to_close,family,strike,spot_price,close_time,tier,resolved_yes,resolved_no,won,pnl_usd,exit_type
2026-04-07T22:17:10.593331,KXBTC-26APR0800-B71150,no,0.8800,0.8954,0.0175,2.89,0.71,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.06,early_loss
2026-04-07T22:18:10.520428,KXBTC-26APR0800-B71450,no,0.8600,0.8814,0.0249,3.44,0.70,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:18:16.401366,KXBTC-26APR0800-B71450,no,0.8700,0.8884,0.0211,3.18,0.70,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.13,early_loss
2026-04-07T22:18:16.402326,KXBTC-26APR0800-B71150,no,0.8800,0.8954,0.0175,2.89,0.70,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.06,early_loss
2026-04-07T22:18:49.644528,KXBTC-26APR0800-B71450,no,0.8600,0.8814,0.0249,3.44,0.69,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:18:53.662884,KXBTC-26APR0800-B71450,no,0.8600,0.8814,0.0249,3.44,0.69,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:18:59.617569,KXBTC-26APR0800-B71450,no,0.8600,0.8814,0.0249,3.44,0.68,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:19:06.957828,KXBTC-26APR0800-B71450,no,0.8600,0.8814,0.0249,3.44,0.68,KXBTC,71450.0,71319.00,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:19:11.624053,KXBTC-26APR0800-B71450,no,0.8600,0.8814,0.0249,3.44,0.68,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:19:13.498510,KXBTC-26APR0800-B71450,no,0.8600,0.8814,0.0249,3.44,0.68,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:18:49.645411,KXBTC-26APR0800-B71150,no,0.8700,0.8884,0.0211,3.18,0.69,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.06,early_loss
2026-04-07T22:19:24.870076,KXBTC-26APR0800-B71450,no,0.8600,0.8814,0.0249,3.44,0.68,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:19:28.393974,KXBTC-26APR0800-B71450,no,0.8600,0.8814,0.0249,3.44,0.68,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:19:28.394931,KXBTC-26APR0800-B71150,no,0.8700,0.8884,0.0211,3.18,0.68,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:19:42.155571,KXBTC-26APR0800-B71150,no,0.8500,0.8744,0.0287,3.66,0.67,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.07,early_loss
2026-04-07T22:19:42.156542,KXBTC-26APR0800-B71450,no,0.8700,0.8884,0.0211,3.18,0.67,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.06,early_loss
2026-04-07T22:19:46.614536,KXBTC-26APR0800-B71450,no,0.8700,0.8884,0.0211,3.18,0.67,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.06,early_loss
2026-04-07T22:19:48.545810,KXBTC-26APR0800-B71450,no,0.8700,0.8884,0.0211,3.18,0.67,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.06,early_loss
2026-04-07T22:20:03.024376,KXBTC-26APR0800-B71450,no,0.8700,0.8884,0.0211,3.18,0.67,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.06,early_loss
2026-04-07T22:20:10.758159,KXBTC-26APR0800-B71150,no,0.8600,0.8814,0.0249,3.44,0.66,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.1,early_loss
2026-04-07T22:20:10.759153,KXBTC-26APR0800-B71450,no,0.8800,0.8954,0.0175,2.89,0.66,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.09,early_loss
2026-04-07T22:20:13.751725,KXBTC-26APR0800-B71450,no,0.8800,0.8954,0.0175,2.89,0.66,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.14,early_loss
2026-04-07T22:20:13.750684,KXBTC-26APR0800-B71150,no,0.8600,0.8814,0.0249,3.44,0.66,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.07,early_loss
2026-04-07T22:20:18.963246,KXBTC-26APR0800-B71450,no,0.8700,0.8884,0.0211,3.18,0.66,KXBTC,71450.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.06,early_loss
2026-04-07T22:20:19.870962,KXBTC-26APR0800-B71150,no,0.8700,0.8884,0.0211,3.18,0.66,KXBTC,71150.0,,2026-04-08T04:00:00Z,1,0,1,0,-0.19,early_loss
